Student ID,Study Hours,Attendance (%),Result
STU_01,8.2,92,Pass
STU_02,2.1,65,Fail
STU_03,5.4,88,Pass
STU_04,1.5,40,Fail
STU_05,9,95,Pass
STU_06,4.8,78,Pass
STU_07,3.1,60,Fail
STU_08,6.7,82,Pass
STU_09,2.5,55,Fail
STU_10,7.3,90,Pass
STU_11,4,70,Fail
STU_12,8.5,85,Pass
STU_13,1.2,30,Fail
STU_14,5.9,80,Pass
STU_15,3.5,62,Fail
STU_16,6.1,77,Pass
STU_17,2.8,45,Fail
STU_18,9.2,98,Pass
STU_19,4.4,72,Fail
STU_20,7,88,Pass
STU_21,0.8,25,Fail
STU_22,5.1,81,Pass
STU_23,3.9,66,Fail
STU_24,8,94,Pass
STU_25,4.2,75,Pass
STU_26,2.2,50,Fail
STU_27,6.5,83,Pass
STU_28,1.9,48,Fail
STU_29,7.8,91,Pass
STU_30,5,79,Pass
STU_31,3,58,Fail
STU_32,8.8,96,Pass
STU_33,4.5,74,Pass
STU_34,1.1,35,Fail
STU_35,6.3,80,Pass
STU_36,2.7,52,Fail
STU_37,7.5,89,Pass
STU_38,3.8,68,Fail
STU_39,9.5,99,Pass
STU_40,5.2,82,Pass
STU_41,1.7,42,Fail
STU_42,6.9,86,Pass
STU_43,2.4,54,Fail
STU_44,8.1,93,Pass
STU_45,4.9,76,Pass
STU_46,3.3,61,Fail
STU_47,7.2,87,Pass
STU_48,1.4,38,Fail
STU_49,6,81,Pass
STU_50,5.5,85,Pass
